,Navigasi,Link
137,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3380697/hoaks-jakarta-diguncang-gempa-127-sr
138,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2416649/marcos-andre-antar-sepuluh-pemain-valencia-imbangi-bilbao
139,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3314882/hoaks-arab-saudi-larang-pasang-pengeras-suara-di-masjid
140,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2815177/hoaks-haji-dibatalkan-dananya-dialihkan-untuk-pembangunan-ikn
141,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3579663/hoaks-messi-tiba-di-jakarta-langsung-disambut-jokowi
142,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1864492/penalti-larut-levante-hentikan-momentum-kemenangan-beruntun-valladolid
143,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1979811/presiden-real-florentino-perez-positif-terinfeksi-covid-19
144,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3512832/tiga-gol-karim-benzema-bawa-real-madrid-menang-4-2-atas-almeria
145,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3423090/gol-bunuh-diri-eder-militao-bawa-barcelona-menang-1-0-atas-real-madrid
146,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2623941/ferran-torres-dilaporkan-terpapar-covid-19-usai-diresmikan-barcelona
147,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3080353/hoaks-video-anies-baswedan-mengaku-rancang-desain-lapangan-banteng
148,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3075513/hoaks-ferdy-sambo-ucapkan-terima-kasih-dalam-skenario-brigadir-j
149,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3355527/hoaks-lato-lato-berarti-aku-yahudi
150,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2028393/bek-barcelona-gerard-pique-terancam-absen-tiga-pekan-karena-cedera
151,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3071209/hoaks-bungker-uang-rp900-miliar-milik-sambo-terbongkar
152,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3058089/real-madrid-memulai-musim-dengan-kemenangan-2-1-atas-almeria
153,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2471589/hoaks-anak-13-tahun-asal-china-retas-facebook
